ἆ I
ᾄδω V
αδων N
Ἀδωναί Np
Ἀδωναϊέ Np
Αδωνια Np
Αδωνίας Np
Αδωνιβεζεκ Np
Αδωνικαμ Np
Αδωνιραμ Np
Αδωρα Np
Αδωραιμ Np
αδωρηεμ N
ἀεί D
Αεμε Np
ἀέναος A
Αενδωρ Np
Αερ Np
ἀεργός A
Αερμων Np
ἀετός N
Αζαβουχ Np
Αζαηλ Np
Ἀζάηλος Np
Αζαια Np
Αζακι Np
Αζανια Np
Αζανωθ Np
Αζαραηλ Np
Αζαρια Np
Ἀζαρίας Np
Αζαριον Np
Αζαριου Np
Αζαυ Np
Αζενι Np
Αζερ Np
Αζηκα Np
Αζηρ Np
Αζητάς Np
Αζιηλ Np
Αζιν Np
Αζιφ Np
Αζμωθ Np
Αζοβ Np
Αζουβα Np
Αζουρ Np
Αζουρού Np
ἄζυμος A
Αζωβαι Np
Ἀζώρ Np
Ἀζωτία Np
Ἀζώτιος Np
Ἀζωτιστί Np
Ἄζωτος Np
ἀηδία N
Αηδις Np
ἀήρ N A
Αθαθ Np
Αθαια Np
ἀθανασία N
ἀθάνατος A
Αθανι Np
Αθανιν Np
Αθαριν Np
Αθελια Np
ἀθέμιτος A
Αθερ Np
Αθερσαθα Np
ἀθεσία N A
ἄθεσμος A
ἀθέσμως D
ἀθετέω V
ἀθέτημα A N
ἀθέτησις N
ἀθεώρητος A
Ἀθῆναι Np
Ἀθηναῖος Np
Ἀθηνόβιος Np
Αθιν Np
ἀθλητής N
ἄθλιος A
ἀθλοθετέω V
ἆθλον N
ἀθλοφόρος A
αθουκιιν N
Αθουρ Np
Αθουριας Np
ἀθροίζω V
ἄθροισμα N
ἀθρόος A
ἀθυμέω V
ἀθυμία N
ἄθυτος A
ἀθῷος A
ἀθῳόω V
Αϊα Np
Αιαλων Np
Αιγγαδοις Np
αἴγειος A
αἰγιαλός N
αἰγίδιον N
Αιγλα Np
Αἰγύπτιος N A
Αἴγυπτος Np
αιδαδ N
Αιδαν Np
αἰδέομαι V
αἰδήμων A
ἀΐδιος A
ἀϊδιότης N
αἰδοῖος A
αἰδώς N
Αιε Np
Αιζηλ Np
αἰθάλη N
Αιθαλιμ Np
Αιθαμ Np
Αιθαμιν Np
Αιθαν Np
Αιθι Np
Αιθιηλ Np
Αἰθιοπία Np
Αἰθίοψ Np
αἴθριος A
Αιιν Np
Αικαρεν Np
αἰκία N
αἰκίζομαι V
αἰκίζω V
αἰκισμός N A
αιλ N
Αιλαθ Np
Αιλαμ Np
αιλαμ N
Αιλαμείτης Np
Αἰλαμίτης Np
αιλαμμω N
αιλευ N
Αιλιμ Np
αἴλουρος N
Αιλους Np
Αιλωθ Np
Αιλωμ Np
Αιλων Np
αἷμα N
Αιμαθ Np
Αιμαν Np
Αιμανι Np
Αιμαρεκ Np
αἱμάσσω V
αἱμοβόρος A
αἱμορροέω V
αἱμωδιάω V
Αιν Np
αιν N
Αιναγαλιμ Np
Αινακιμ Np
Αιναν Np
Αινγαδιν Np
Αἰνέας Np
αἴνεσις N
αἰνετός A
αἰνέω V
αἴνιγμα N
αἰνιγματιστής N
αἶνος N
Αἰνών Np
αἴξ N
αἰπόλιον N
αἰπόλος N
Αιρεμ Np
αἵρεσις N
αἱρετίζω V
αἱρετικός N
αἱρετίς N
αἱρετός A
αἱρέω V
αἴρω V
Αισαμ Np
Αισαν Np
αἰσθάνομαι V
αἴσθησις N
